T/1	Light/1	Pupil/3			PupilUpregulated/3			
256	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
257	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
258	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
259	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
260	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
261	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
262	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
263	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
264	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
265	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
266	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
267	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
268	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
269	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
270	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
271	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
272	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
273	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
274	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
275	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
276	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
277	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
278	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
279	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
280	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
281	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
282	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
283	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
284	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
285	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
286	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
287	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
288	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
289	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
290	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
291	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
292	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
293	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
294	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
295	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
296	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
297	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
